Year,CO2Emissions_MtCO2perYear_Global,CO2Emissions_MtCO2perYear_OECD,CO2Emissions_MtCO2perYear_NonOECD,ExogenousForcing_DICE2016_Wperm2,CO2Emissions_MtCO2perYear_Asia,CO2Emissions_MtCO2perYear_LAM,CO2Emissions_MtCO2perYear_MAF,CO2Emissions_MtCO2perYear_Ref
2020,40647.5299,10931.8674,24443.3044,0.5294,16362.4142,2004.6295,3740.9923,2335.2683
2021,40930.3832,10912.5756,24747.4590,0.5353,16536.0701,2047.2972,3824.0430,2340.0487
2022,41213.2364,10893.2838,25051.6136,0.5412,16709.7259,2089.9648,3907.0937,2344.8292
2023,41496.0897,10873.9920,25355.7682,0.5470,16883.3818,2132.6324,3990.1443,2349.6096
2024,41778.9430,10854.7002,25659.9228,0.5529,17057.0377,2175.3001,4073.1950,2354.3900
2025,42061.7962,10835.4084,25964.0774,0.5588,17230.6935,2217.9677,4156.2457,2359.1704
2026,42344.6495,10816.1166,26268.2319,0.5647,17404.3494,2260.6353,4239.2964,2363.9508
2027,42627.5028,10796.8247,26572.3865,0.5706,17578.0053,2303.3030,4322.3470,2368.7313
2028,42910.3560,10777.5329,26876.5411,0.5764,17751.6611,2345.9706,4405.3977,2373.5117
2029,43193.2093,10758.2411,27180.6957,0.5823,17925.3170,2388.6382,4488.4484,2378.2921
2030,43476.0626,10738.9493,27484.8503,0.5882,18098.9729,2431.3059,4571.4991,2383.0725
2031,43553.7463,10753.2565,27608.0641,0.5941,18091.8138,2458.8510,4678.0094,2379.3899
2032,43631.4300,10767.5637,27731.2778,0.6000,18084.6547,2486.3961,4784.5197,2375.7073
2033,43709.1138,10781.8709,27854.4915,0.6058,18077.4956,2513.9412,4891.0301,2372.0246
2034,43786.7975,10796.1782,27977.7053,0.6117,18070.3366,2541.4863,4997.5404,2368.3420
2035,43864.4813,10810.4854,28100.9190,0.6176,18063.1775,2569.0314,5104.0507,2364.6593
2036,43942.1650,10824.7926,28224.1327,0.6235,18056.0184,2596.5765,5210.5610,2360.9767
2037,44019.8488,10839.0998,28347.3465,0.6294,18048.8593,2624.1217,5317.0714,2357.2941
2038,44097.5325,10853.4070,28470.5602,0.6353,18041.7003,2651.6668,5423.5817,2353.6114
2039,44175.2163,10867.7142,28593.7739,0.6412,18034.5412,2679.2119,5530.0920,2349.9288
2040,44252.9000,10882.0214,28716.9877,0.6471,18027.3821,2706.7570,5636.6024,2346.2462
2041,44173.8290,10904.2029,28770.7572,0.6530,17975.3726,2709.1580,5728.0719,2358.1548
2042,44094.7580,10926.3844,28824.5268,0.6589,17923.3631,2711.5589,5819.5414,2370.0634
2043,44015.6870,10948.5658,28878.2964,0.6647,17871.3535,2713.9599,5911.0110,2381.9720
2044,43936.6160,10970.7473,28932.0660,0.6706,17819.3440,2716.3609,6002.4805,2393.8807
2045,43857.5450,10992.9288,28985.8356,0.6765,17767.3345,2718.7618,6093.9500,2405.7893
2046,43778.4740,11015.1102,29039.6052,0.6824,17715.3249,2721.1628,6185.4196,2417.6979
2047,43699.4030,11037.2917,29093.3748,0.6883,17663.3154,2723.5637,6276.8891,2429.6065
2048,43620.3320,11059.4732,29147.1444,0.6941,17611.3059,2725.9647,6368.3587,2441.5151
2049,43541.2610,11081.6546,29200.9140,0.7000,17559.2964,2728.3657,6459.8282,2453.4238
2050,43462.1900,11103.8361,29254.6836,0.7059,17507.2868,2730.7666,6551.2977,2465.3324
2051,43135.6195,11025.4670,29201.3926,0.7118,17387.5131,2703.1230,6643.3853,2467.3711
2052,42809.0490,10947.0980,29148.1016,0.7177,17267.7394,2675.4794,6735.4729,2469.4098
2053,42482.4785,10868.7289,29094.8106,0.7235,17147.9656,2647.8358,6827.5605,2471.4486
2054,42155.9080,10790.3598,29041.5196,0.7294,17028.1919,2620.1922,6919.6481,2473.4873
2055,41829.3374,10711.9908,28988.2286,0.7353,16908.4182,2592.5486,7011.7357,2475.5260
2056,41502.7669,10633.6217,28934.9376,0.7412,16788.6445,2564.9050,7103.8233,2477.5648
2057,41176.1964,10555.2526,28881.6466,0.7471,16668.8707,2537.2615,7195.9109,2479.6035
2058,40849.6259,10476.8835,28828.3556,0.7529,16549.0970,2509.6179,7287.9985,2481.6422
2059,40523.0554,10398.5145,28775.0646,0.7588,16429.3233,2481.9743,7380.0861,2483.6810
2060,40196.4848,10320.1454,28721.7736,0.7647,16309.5495,2454.3307,7472.1737,2485.7197
2061,39700.3797,10186.0920,28395.8165,0.7706,16047.1692,2376.6722,7517.6662,2454.3090
2062,39204.2746,10052.0386,28069.8594,0.7765,15784.7888,2299.0137,7563.1586,2422.8983
2063,38708.1695,9917.9853,27743.9024,0.7823,15522.4085,2221.3553,7608.6510,2391.4876
2064,38212.0644,9783.9319,27417.9453,0.7882,15260.0281,2143.6968,7654.1435,2360.0769
2065,37715.9593,9649.8785,27091.9882,0.7941,14997.6477,2066.0384,7699.6359,2328.6662
