Year,CO2Emissions_MtCO2perYear_Global,CO2Emissions_MtCO2perYear_OECD,CO2Emissions_MtCO2perYear_NonOECD,ExogenousForcing_DICE2016_Wperm2,CO2Emissions_MtCO2perYear_OECD_,CO2Emissions_MtCO2perYear_Asia,CO2Emissions_MtCO2perYear_LAM,CO2Emissions_MtCO2perYear_MAF,CO2Emissions_MtCO2perYear_Ref
2020,44808.038,12091.491,32716.547,0.5294,12091.491,18219.09948,2129.264112,3850.413461,2554.367165
2021,45611.97033,12219.75779,33392.213,0.53528,12219.75779,18661.36066,2178.603083,3971.786148,2601.963716
2022,46415.90244,12348.02467,34067.878,0.54116,12348.02467,19103.62184,2227.942055,4093.158836,2649.560267
2023,47219.83455,12476.29155,34743.543,0.54704,12476.29155,19545.88302,2277.281027,4214.531523,2697.156818
2024,48023.76666,12604.55843,35419.208,0.55292,12604.55843,19988.1442,2326.619998,4335.90421,2744.753369
2025,48827.69877,12732.8253,36094.873,0.5588,12732.8253,20430.40538,2375.95897,4457.276897,2792.349919
2026,49631.63088,12861.09218,36770.539,0.56468,12861.09218,20872.66656,2425.297941,4578.649584,2839.94647
2027,50435.56299,12989.35906,37446.204,0.57056,12989.35906,21314.92775,2474.636913,4700.022271,2887.543021
2028,51239.4951,13117.62594,38121.869,0.57644,13117.62594,21757.18893,2523.975885,4821.394959,2935.139572
2029,52043.42721,13245.89282,38797.534,0.58232,13245.89282,22199.45011,2573.314856,4942.767646,2982.736123
2030,52847.359,13374.16,39473.199,0.5882,13374.16,22641.71129,2622.653828,5064.140333,3030.332673
2031,53412.42037,13481.45844,39930.962,0.59408,13481.45844,22891.91639,2661.015504,5193.670449,3070.04683
2032,53977.48142,13588.75718,40388.724,0.59996,13588.75718,23142.12149,2699.37718,5323.200565,3109.760986
2033,54542.54247,13696.05592,40846.487,0.60584,13696.05592,23392.32659,2737.738857,5452.730681,3149.475143
