Year,Temperature
1880,0.030440829772740013
1881,0.1253469766674516
1882,0.10007318910450066
1883,0.03461946708388722
1884,-0.07101418939444559
1885,-0.11682778033044089
1886,-0.09282130572421238
1887,-0.13899476557564638
1888,0.054651840115313904
1889,0.12811851134844118
1890,-0.11859475187609403
1891,0.014512050441708196
1892,-0.03256108169815208
1893,-0.06981414829578853
1894,-0.05724714935108749
1895,0.02513991513589417
1896,0.1373470451652702
1897,0.13937424073687
1898,-0.01877849814924959
1899,0.08288882850696835
1900,0.17437622070552378
1901,0.10568367844635987
1902,-0.013188798270523439
1903,-0.11224120944512606
1904,-0.2014735550773344
1905,-0.0008858351673188825
1906,0.03952195028503411
1907,-0.12025019872033227
1908,-0.17020228218336114
1909,-0.22033430010410937
1910,-0.17064625248257698
1911,-0.1811381393187071
1912,-0.1018099606124997
1913,-0.08266171636406855
1914,0.10630659342670015
1915,0.11509496875974945
1916,-0.10629659036480688
1917,-0.20786808394713946
1918,-0.039619511987191325
1919,-0.03155087448490579
1920,-0.02366217144028271
1921,0.05404659714662102
1922,-0.03842456872419464
1923,-0.031075669052729626
1924,-0.03390670383887029
1925,0.013082326917212866
1926,0.1198914232156335
1927,0.006520585056334766
1928,0.02296981243943036
1929,-0.14076089463530705
1930,0.05532846383234982
1931,0.12123788784223052
1932,0.046967377394505544
1933,-0.08748306751093876
1934,0.07788655312589754
1935,-0.006923760694985515
1936,0.03808599102646895
1937,0.16291580829020405
1938,0.17756569109627662
1939,0.15203563944462986
1940,0.29632565333532057
1941,0.35043573276829193
1942,0.22436587774354394
1943,0.23811608826107658
1944,0.3416863643210036
1945,0.22507670592315435
1946,0.058287113067642615
1947,0.09131758575446838
1948,0.0041681239835179434
1949,-0.0031612722450950065
1950,-0.07067060293137048
1951,0.02164013192463471
1952,0.09377093232292054
1953,0.15572179826354388
1954,-0.06250727025355218
1955,-0.08091627322831074
1956,-0.13950521066078864
1957,0.09172591744901411
1958,0.09277711110109749
1959,0.053648370295575204
1960,-0.015660304967723276
1961,0.06485108531131573
1962,0.025182541132635378
1963,0.035334062496349364
1964,-0.22469435059771287
1965,-0.1449026981494944
1966,-0.10529098015893851
1967,-0.07585919662604511
1968,-0.1466073475509279
1969,-0.0275354329334732
1970,-0.058643452773737864
1971,-0.1799314070716082
1972,-0.10139929582725472
1973,0.036952880959436246
1974,-0.20487487671159216
1975,-0.15688256884028307
1976,-0.2590701954266933
1977,0.00856224352917706
1978,-0.1139852519726719
1979,-0.02671268193212653
1980,0.05037995365064263
1981,0.09729265477574928
1982,-0.09597457855686342
1983,0.06057825365291819
1984,-0.10304884859507638
1985,-0.1568558853007903
1986,-0.11084285646416675
1987,0.014990237914794313
1988,0.07064339783597917
1989,-0.06388337670049848
1990,0.10140991430536134
1991,0.03652327085350182
1992,-0.15854330705607708
1993,-0.16378981942331847
1994,-0.08921626624827922
1995,0.025177352469097525
1996,-0.11060896327124509
1997,0.003424786530692947
1998,0.13727860187496843
1999,-0.10904751723841855
2000,-0.11555357080958173
2001,0.01776044116159259
2002,0.0908945186750475
2003,0.06384866173083992
2004,-0.03337712967108697
2005,0.0892171444693236
2006,0.03163148415201478
2007,0.03386588937704349
2008,-0.10407963985570401
2009,-0.002205103546114029
2010,0.039489498305813386
2011,-0.08899583429997848
2012,-0.06766110136343284
2013,-0.056506302884663406
2014,-0.005531438863556559
2015,0.12526349069988785
2016,0.21587848580561286
2017,0.10631354645361857
2018,0.01656867264396167
2019,0.12664386437664232
2020,0.1465391216515468
